mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3526147842407227,0.0032186480296087553,0.17653212547302247,0.0032151743431710752,0.1,0.12,rbf,"{'C': 0.1, 'gamma': 0.12, 'kernel': 'rbf'}",0.6928471248246845,0.6788218793828892,0.6858345021037868,0.6797752808988764,0.7148876404494382,0.690433285531935,0.01321672212840871,25
0.3793032169342041,0.01858453783851656,0.19163031578063966,0.00987926244506457,0.1,0.15,rbf,"{'C': 0.1, 'gamma': 0.15, 'kernel': 'rbf'}",0.6942496493688639,0.6788218793828892,0.6900420757363254,0.6741573033707865,0.7134831460674157,0.6901508107852561,0.013750251902424748,27
0.3749506950378418,0.009037215103435192,0.18982601165771484,0.007155470493268845,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6914446002805049,0.6816269284712483,0.6900420757363254,0.6811797752808989,0.7078651685393258,0.6904317096616607,0.009677042027786355,26
0.4182926654815674,0.04218368130086512,0.21720595359802247,0.038193698024930445,0.1,0.09,rbf,"{'C': 0.1, 'gamma': 0.09, 'kernel': 'rbf'}",0.6914446002805049,0.6788218793828892,0.6928471248246845,0.6825842696629213,0.7036516853932584,0.6898699119088516,0.008676639052305084,28
0.40148262977600097,0.01728182247560921,0.20508575439453125,0.01989497344396129,0.1,0.08,rbf,"{'C': 0.1, 'gamma': 0.08, 'kernel': 'rbf'}",0.6900420757363254,0.6830294530154277,0.6872370266479664,0.6825842696629213,0.6980337078651685,0.6881853065855618,0.0056443294540428545,30
0.3559562683105469,0.006538590461349946,0.17685790061950685,0.003003329943267839,0.5,0.12,rbf,"{'C': 0.5, 'gamma': 0.12, 'kernel': 'rbf'}",0.7110799438990182,0.6816269284712483,0.7026647966339411,0.6783707865168539,0.7191011235955056,0.6985687158233135,0.016061562700088704,2
0.3884711265563965,0.028718568390743656,0.18390417098999023,0.009133738752930142,0.5,0.15,rbf,"{'C': 0.5, 'gamma': 0.15, 'kernel': 'rbf'}",0.7082748948106592,0.6760168302945302,0.6956521739130435,0.672752808988764,0.7247191011235955,0.6954831618261185,0.019565296562267652,7
0.3630727767944336,0.017974167627008698,0.17991161346435547,0.005949907801947507,0.5,0.1,rbf,"{'C': 0.5, 'gamma': 0.1, 'kernel': 'rbf'}",0.7082748948106592,0.6830294530154277,0.7012622720897616,0.6699438202247191,0.7120786516853933,0.6949178183651922,0.015988693494384146,10
0.38576297760009765,0.016920790708711914,0.18983101844787598,0.012505162271338658,0.5,0.09,rbf,"{'C': 0.5, 'gamma': 0.09, 'kernel': 'rbf'}",0.7082748948106592,0.6816269284712483,0.7026647966339411,0.672752808988764,0.7092696629213483,0.6949178183651922,0.01491534780325739,10
0.3920129299163818,0.06186292490701101,0.19597320556640624,0.016211544915717628,0.5,0.08,rbf,"{'C': 0.5, 'gamma': 0.08, 'kernel': 'rbf'}",0.7110799438990182,0.6802244039270687,0.697054698457223,0.6741573033707865,0.7106741573033708,0.6946381013914935,0.015235136873623118,12
0.3831775188446045,0.023907529178508278,0.18487191200256348,0.006682902508552799,0.6,0.12,rbf,"{'C': 0.6, 'gamma': 0.12, 'kernel': 'rbf'}",0.7096774193548387,0.6816269284712483,0.6956521739130435,0.672752808988764,0.7219101123595506,0.6963238886174891,0.017916580374503572,5
0.3642606735229492,0.006070594249714938,0.18410115242004393,0.00973217463291665,0.6,0.15,rbf,"{'C': 0.6, 'gamma': 0.15, 'kernel': 'rbf'}",0.7110799438990182,0.6746143057503506,0.6942496493688639,0.675561797752809,0.723314606741573,0.6957640607025228,0.019242379632739493,6
0.3807274341583252,0.015470597209467243,0.18839044570922853,0.004731848214574799,0.6,0.1,rbf,"{'C': 0.6, 'gamma': 0.1, 'kernel': 'rbf'}",0.7082748948106592,0.6802244039270687,0.7040673211781207,0.672752808988764,0.7106741573033708,0.6951987172415967,0.015602414282683157,9
0.37008204460144045,0.005127957729830179,0.18382840156555175,0.011727653151067694,0.6,0.09,rbf,"{'C': 0.6, 'gamma': 0.09, 'kernel': 'rbf'}",0.7082748948106592,0.6788218793828892,0.7012622720897616,0.6713483146067416,0.7106741573033708,0.6940763036386846,0.015987406449671605,14
0.4031954765319824,0.01652164655477043,0.19132452011108397,0.004049039382240577,0.6,0.08,rbf,"{'C': 0.6, 'gamma': 0.08, 'kernel': 'rbf'}",0.7096774193548387,0.6802244039270687,0.697054698457223,0.6699438202247191,0.7120786516853933,0.6937957987298486,0.016432946472287577,16
0.39165582656860354,0.01375155277658536,0.18415517807006837,0.00593355964902809,0.8,0.12,rbf,"{'C': 0.8, 'gamma': 0.12, 'kernel': 'rbf'}",0.7110799438990182,0.6746143057503506,0.6928471248246845,0.6797752808988764,0.7176966292134831,0.6952026569172826,0.016884902709746887,8
0.37404303550720214,0.009754565172734694,0.1785609245300293,0.004430427017572853,0.8,0.15,rbf,"{'C': 0.8, 'gamma': 0.15, 'kernel': 'rbf'}",0.7082748948106592,0.6774193548387096,0.697054698457223,0.6811797752808989,0.723314606741573,0.6974486660258128,0.017042649101345245,3
0.3660262584686279,0.005685057285222354,0.17527284622192382,0.004378231495261474,0.8,0.1,rbf,"{'C': 0.8, 'gamma': 0.1, 'kernel': 'rbf'}",0.7068723702664796,0.6718092566619915,0.6956521739130435,0.6741573033707865,0.7120786516853933,0.6921139511795389,0.016514484795624833,19
