mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_degree,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.29755473136901855,0.0428666986364433,0.04906306266784668,0.004218469669339007,0.1,linear,,,"{'C': 0.1, 'kernel': 'linear'}",0.7026647966339411,0.6507713884992987,0.6718092566619915,0.6544943820224719,0.675561797752809,0.6710603243141025,0.018470182424131072,17
0.39556255340576174,0.020675207157424085,0.04604921340942383,0.002173447041807468,1.0,linear,,,"{'C': 1, 'kernel': 'linear'}",0.699859747545582,0.6549789621318373,0.664796633941094,0.6544943820224719,0.6713483146067416,0.6690956080495454,0.016628070468994314,22
1.15064377784729,0.06833955435819548,0.04852638244628906,0.0029859964039712435,10.0,linear,,,"{'C': 10, 'kernel': 'linear'}",0.699859747545582,0.6563814866760168,0.6661991584852734,0.6573033707865169,0.672752808988764,0.6704993144964306,0.01586852608620618,21
6.407197523117065,0.6355558317044236,0.046386337280273436,0.0008777845218949279,100.0,linear,,,"{'C': 100, 'kernel': 'linear'}",0.699859747545582,0.6549789621318373,0.6661991584852734,0.6587078651685393,0.672752808988764,0.6704997084639992,0.0159092691345535,20
0.3116593360900879,0.005128740671109169,0.0625192642211914,0.0019827421223872882,0.1,poly,2.0,,"{'C': 0.1, 'degree': 2, 'kernel': 'poly'}",0.6914446002805049,0.6746143057503506,0.6802244039270687,0.6713483146067416,0.7036516853932584,0.6842566619915849,0.011863329724713049,5
0.30454106330871583,0.014054124549673917,0.05711545944213867,0.0017621339961727109,0.1,poly,3.0,,"{'C': 0.1, 'degree': 3, 'kernel': 'poly'}",0.6886395511921458,0.6760168302945302,0.6732117812061711,0.6896067415730337,0.6938202247191011,0.6842590257969964,0.00811392619312348,4
0.310170316696167,0.009606692515687474,0.05877056121826172,0.0014473728080823635,0.1,poly,4.0,,"{'C': 0.1, 'degree': 4, 'kernel': 'poly'}",0.6830294530154277,0.6732117812061711,0.6605890603085554,0.6825842696629213,0.6769662921348315,0.6752761712655814,0.008201842758938547,12
0.28626708984375,0.003869791337837188,0.048333930969238284,0.0010705639600945332,1.0,poly,2.0,,"{'C': 1, 'degree': 2, 'kernel': 'poly'}",0.697054698457223,0.6605890603085554,0.6858345021037868,0.6783707865168539,0.6896067415730337,0.6822911577918906,0.012412779979189303,7
0.3086916446685791,0.006766499455118244,0.051169204711914065,0.0011568226247135349,1.0,poly,3.0,,"{'C': 1, 'degree': 3, 'kernel': 'poly'}",0.6914446002805049,0.6760168302945302,0.6774193548387096,0.6629213483146067,0.6825842696629213,0.6780772806782546,0.009309981644044348,11
0.329824161529541,0.009007449332337552,0.052645206451416016,0.0006285596989517925,1.0,poly,4.0,,"{'C': 1, 'degree': 4, 'kernel': 'poly'}",0.6942496493688639,0.6774193548387096,0.6830294530154277,0.6657303370786517,0.6839887640449438,0.6808835116693194,0.009322235529128843,8
0.5069201946258545,0.03187262395069818,0.04423642158508301,0.0017764522795362205,10.0,poly,2.0,,"{'C': 10, 'degree': 2, 'kernel': 'poly'}",0.6774193548387096,0.6563814866760168,0.6746143057503506,0.6601123595505618,0.6839887640449438,0.6705032541721165,0.01052603608477214,19
0.605146837234497,0.02699135089840408,0.043588781356811525,0.0028890529552055536,10.0,poly,3.0,,"{'C': 10, 'degree': 3, 'kernel': 'poly'}",0.6704067321178121,0.6451612903225806,0.6577840112201964,0.648876404494382,0.6713483146067416,0.6587153505523425,0.0107486276789571,32
0.5548899173736572,0.03795777465953298,0.04851741790771484,0.0029193127081777108,10.0,poly,4.0,,"{'C': 10, 'degree': 4, 'kernel': 'poly'}",0.6591865357643759,0.6409537166900421,0.6521739130434783,0.6460674157303371,0.675561797752809,0.6547886757962085,0.012042983210005177,33
3.1191730976104735,0.3965176600400216,0.043998098373413085,0.0013298175916206117,100.0,poly,2.0,,"{'C': 100, 'degree': 2, 'kernel': 'poly'}",0.6760168302945302,0.6563814866760168,0.6605890603085554,0.6615168539325843,0.6587078651685393,0.6626424192760452,0.006914304643709789,26
2.70570650100708,0.38595054335964185,0.03891148567199707,0.0016921026061829123,100.0,poly,3.0,,"{'C': 100, 'degree': 3, 'kernel': 'poly'}",0.638148667601683,0.6395511921458625,0.6213183730715287,0.6390449438202247,0.6334269662921348,0.6342980285862867,0.006843779062050745,37
1.4882284641265868,0.23574892891189733,0.04003820419311523,0.0017313513767191638,100.0,poly,4.0,,"{'C': 100, 'degree': 4, 'kernel': 'poly'}",0.6535764375876578,0.6325385694249649,0.6283309957924264,0.6165730337078652,0.6390449438202247,0.6340127960666277,0.012220148037191835,38
0.4338632583618164,0.00913804647648976,0.2386453628540039,0.0018019649420297115,0.1,rbf,,1.0,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.5063113604488079,0.5049088359046283,0.5063113604488079,0.5042134831460674,0.5042134831460674,0.5051917046188757,0.0009488000383883463,43
0.40189080238342284,0.014932865482263148,0.2061558723449707,0.022402730142546744,0.1,rbf,,0.1,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6914446002805049,0.6816269284712483,0.6900420757363254,0.6811797752808989,0.7078651685393258,0.6904317096616607,0.009677042027786355,2
0.44580798149108886,0.01934216291593217,0.23159441947937012,0.007931648348243595,0.1,rbf,,0.01,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.6479663394109397,0.6437587657784011,0.6774193548387096,0.6896067415730337,0.672752808988764,0.6663008021179696,0.017622220894300832,25
