mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3793011665344238,0.01775448872553486,0.19232454299926757,0.010851065044153207,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6914446002805049,0.6816269284712483,0.6900420757363254,0.6811797752808989,0.7078651685393258,0.6904317096616607,0.009677042027786355,10
0.370817756652832,0.00954672351577202,0.1836416244506836,0.004845429027086135,0.1,0.05,rbf,"{'C': 0.1, 'gamma': 0.05, 'kernel': 'rbf'}",0.6816269284712483,0.6718092566619915,0.6830294530154277,0.672752808988764,0.6853932584269663,0.6789223411128795,0.005562643775774378,16
0.3656157493591309,0.004853456662422261,0.18061256408691406,0.0059631016886158815,0.1,0.08,rbf,"{'C': 0.1, 'gamma': 0.08, 'kernel': 'rbf'}",0.6900420757363254,0.6830294530154277,0.6872370266479664,0.6825842696629213,0.6980337078651685,0.6881853065855618,0.0056443294540428545,13
0.4209568500518799,0.02545245388084659,0.2106386661529541,0.0020281963602816256,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.6479663394109397,0.6437587657784011,0.6774193548387096,0.6896067415730337,0.672752808988764,0.6663008021179696,0.017622220894300832,20
0.36361284255981446,0.008796794239453367,0.19008684158325195,0.0203105849708153,0.5,0.1,rbf,"{'C': 0.5, 'gamma': 0.1, 'kernel': 'rbf'}",0.7082748948106592,0.6830294530154277,0.7012622720897616,0.6699438202247191,0.7120786516853933,0.6949178183651922,0.015988693494384146,1
0.3675316333770752,0.03728850584306836,0.18352837562561036,0.021680551271790246,0.5,0.05,rbf,"{'C': 0.5, 'gamma': 0.05, 'kernel': 'rbf'}",0.7026647966339411,0.6788218793828892,0.6900420757363254,0.6657303370786517,0.7078651685393258,0.6890248514742267,0.01541930891249764,12
0.3853632926940918,0.01674190940175088,0.19121642112731935,0.008818189233028437,0.5,0.08,rbf,"{'C': 0.5, 'gamma': 0.08, 'kernel': 'rbf'}",0.7110799438990182,0.6802244039270687,0.697054698457223,0.6741573033707865,0.7106741573033708,0.6946381013914935,0.015235136873623118,2
0.3910214900970459,0.007636380509409579,0.19611258506774903,0.009512418612086784,0.5,0.01,rbf,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'rbf'}",0.6830294530154277,0.6605890603085554,0.6760168302945302,0.6615168539325843,0.6797752808988764,0.6721854956899949,0.009361331159066451,19
0.38617401123046874,0.013180778490193676,0.19231390953063965,0.02300344733467524,0.8,0.1,rbf,"{'C': 0.8, 'gamma': 0.1, 'kernel': 'rbf'}",0.7068723702664796,0.6718092566619915,0.6956521739130435,0.6741573033707865,0.7120786516853933,0.6921139511795389,0.016514484795624833,6
0.378051233291626,0.020924007268099398,0.18677883148193358,0.010546233324880722,0.8,0.05,rbf,"{'C': 0.8, 'gamma': 0.05, 'kernel': 'rbf'}",0.7054698457223001,0.6816269284712483,0.6928471248246845,0.672752808988764,0.7106741573033708,0.6926741730620736,0.01418915743388363,4
