,vote_average,runtime,original_language,genres,year,season,rating,revenue_adj,budget_adj
168,7.012,93,en,"Animation, Adventure, Comedy, Family, Action, Fantasy",2012,Summer,PG,747606910.1,256607769.2
169,6.951,119,en,"Action, Adventure, Science Fiction",2018,Summer,PG-13,789813687.6,177579104.9
170,7.09,97,en,"Fantasy, Adventure, Action, Family, Romance",2014,Spring,PG,1019532261,241933001.6
171,6.934,116,en,"Drama, Romance, Science Fiction",2016,Winter,PG-13,402288243,145975788.9
172,7.398,127,en,"Adventure, Drama",2012,Fall,PG,844748011.5,166448282.7
173,7.572,108,en,"Drama, Science Fiction",2015,Winter,R,49599471.82,20179113.16
174,6.498,141,en,"Action, Adventure, Fantasy",2014,Spring,PG-13,952896571.2,268814446.2
175,7.544,164,en,"Science Fiction, Drama",2017,Fall,R,335633685.2,194202743.4
176,7.348,81,en,"Animation, Comedy, Family, Adventure",2002,Spring,PG,680384209.8,104740824.4
177,6.6,142,en,"Adventure, Action, Science Fiction",2002,Spring,PG,1152856207,213032185.2
178,6.098,120,en,"Action, Adventure, Science Fiction",2017,Fall,PG-13,851808172.1,388405486.8
179,7.57,161,en,"Fantasy, Adventure, Action",2013,Winter,PG-13,1308498176,341323606
180,7.437,162,en,"Comedy, Drama, Thriller",2019,Summer,R,467457221.2,118659420.3
181,8.455,116,it,"Comedy, Drama",1997,Winter,PG-13,454701747,39522313.01
182,6.513,144,en,"Action, Adventure, Science Fiction, Fantasy",2016,Spring,PG-13,721830087.6,236215367.5
183,7.471,120,en,"Drama, Comedy",2014,Fall,R,138728541.7,24193300.16
184,6.92,139,en,"Action, Adventure, Science Fiction",2014,Spring,PG-13,388283405.9,114246139.6
185,7.427,133,en,"War, Action",2014,Winter,R,728900348,79031447.19
186,7.813,98,en,"Fantasy, Adventure, Animation, Family",2010,Spring,PG,718040794.7,239405225
187,7.481,118,en,"Action, Adventure, Animation, Family",2018,Summer,PG,1576401880,253684435.6
188,7.716,105,en,"Fantasy, Drama, Romance",1990,Winter,PG-13,130794348.5,49356357.93
189,7.323,122,en,"Action, Thriller, Crime",2017,Winter,R,222090111,51787398.24
190,7.296,132,en,"Action, Science Fiction, Adventure",2011,Summer,PG-13,504849287.2,228423007.6
191,8.2,137,en,"Science Fiction, Drama",1971,Winter,R,210039738.7,17378894.47
192,7.579,166,en,"Drama, Fantasy, Romance",2008,Winter,PG-13,500172427.1,223422399.1
193,7.646,108,en,"Action, Thriller, Science Fiction",1984,Fall,R,241804762.3,19746418.06
194,7.752,108,en,"Adventure, Comedy, Science Fiction",1989,Fall,PG,861938893.5,103848059.5
195,8.104,137,en,"Action, Thriller, Science Fiction",1991,Summer,R,1214621100,238252600.3
196,8.464,145,en,"Drama, Crime",1990,Fall,R,115580251.2,61695447.41
197,7.572,100,en,"Drama, Thriller, Crime",2011,Fall,R,111434486.8,21414656.96
198,6.878,131,en,"Action, Science Fiction, Adventure",2013,Summer,PG-13,561139975.9,245752996.4
199,6.9,137,en,"Action, Adventure, Science Fiction",2015,Fall,PG-13,879040188.2,215243873.7
200,7.3,101,en,"Family, Animation, Comedy, Adventure",2012,Fall,PG,653618672.1,228866388.7
201,7.8,114,en,"Fantasy, Drama, Mystery",2001,Fall,R,13466590.52,10773272.42
202,6.407,107,en,"Comedy, Fantasy",2012,Summer,R,762011771.7,69353451.13
203,7.379,143,en,"Drama, Romance",2013,Spring,PG-13,479273526.7,143355914.5
204,7.6,107,en,"Adventure, Comedy, Family, Animation",2016,Fall,PG,916808203.7,199057893.9
205,7.247,123,en,"Drama, Fantasy, Romance",2017,Winter,R,252895100.4,25246356.64
206,7.924,115,en,"Adventure, Action",1981,Summer,PG,1409111785,65048275.86
207,7.3,88,en,"Comedy, Horror",2009,Fall,R,152464918,35141302.34
208,7.042,97,en,"Adventure, Animation, Comedy, Family",2016,Summer,PG,1364967700,265410525.2
209,7.918,110,en,"Drama, Romance",2016,Summer,PG-13,275954057.9,26541052.52
210,7.99,119,en,"War, History, Thriller",2019,Winter,R,492921546.5,124904652.9
211,8.167,132,en,"Romance, Drama",2017,Fall,R,55856652.61,5178739.824
212,7.13,122,en,"Drama, Comedy, Romance",2012,Fall,R,327920390.1,29128449.47
213,7.249,93,en,"Animation, Family, Comedy, Fantasy, Adventure",2004,Spring,PG,1576686750,254643628.5
214,5.819,158,en,"Action, Adventure, Science Fiction",2009,Fall,PG-13,1178153595,297807647
215,8.591,202,en,"Drama, Crime",1974,Winter,R,692219742.5,87708154.51
216,8,122,en,Drama,1999,Fall,R,681799460.5,28703590.99
217,6.535,124,en,"Science Fiction, Adventure, Mystery",2012,Spring,R,559480489.1,180318972.9
218,7.358,121,en,Drama,2010,Fall,PG-13,326346052.3,58037630.31
219,6.648,128,en,"Adventure, Action, Fantasy",2017,Spring,PG-13,1030468625,297777539.9
220,7.847,131,en,"Comedy, Crime, Mystery",2019,Fall,PG-13,390824061,49961861.17
221,8.149,127,en,Drama,1997,Winter,R,446470596.9,19761156.51
222,5.882,125,en,"Drama, Romance, Thriller",2015,Winter,R,768159818.2,53810968.43
223,7.384,109,en,"Comedy, Drama, Romance",2006,Summer,PG-13,517984884.3,55491679.27
224,8.2,114,en,"Crime, Drama",1976,Winter,R,161723741,10743884.89
225,7.503,136,en,"Music, Drama, Romance",2018,Fall,R,550354260.4,45663198.41
226,7.518,135,en,"War, Drama, Action",2014,Fall,R,284698565.5,91396911.71
227,6.204,114,en,"Science Fiction, Action, Adventure",2008,Summer,PG-13,243846295.6,223422399.1
